id,description
10,elegance complexity and structure come together in this drop dead gorgeous winethat ranks among italy s greatest whites it opens with sublime yellow spring flower aromatic herb and orchard fruit scents the creamy delicious palate seamlessly combines juicy white peach ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish 
11,from 18 year old vines this supple well balanced effort blends flavors of mocha cherry vanilla and breakfast tea superbly integrated and delicious even at this early stage this wine seems destined for a long and savory cellar life drink now through 2028 
12,a standout even in this terrific lineup of 2015 releases from patricia green the weber opens with a burst of cola and tobacco scents and accents it continues subtle and detailed with flavors of oranges vanilla tea and milk chocolate discreetly threaded through ripe blackberry fruit 
13,this wine is in peak condition the tannins and the secondary flavors dominate this ripe leather textured wine the fruit is all there as well dried berries and hints of black plum skins it is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance 
14,with its sophisticated mix of mineral acid and tart fruits this seductive effort pleases from start to finish supple and dense it s got strawberry blueberry plum and black cherry a touch of chocolate and that underlying streak of mineral all these elements are in good proportion and finish with an appealing silky texture it s delicious already but give it another decade for full enjoyment drink now through 2028 
15,first made in 2006 this succulent luscious chardonnay is all about minerality it s got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring it spends 18 months on the lees prior to bottling drink now through 2028 
16,this blockbuster powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass on the palate it s smooth and seductively silky offering complex cedar peppercorn and peppery oak seasonings amidst its dense richness it finishes with finesse and spice 
17,nicely oaked blackberry licorice vanilla and charred aromas are smooth and sultry this is an outstanding wine from an excellent year forward barrel spice and mocha flavors adorn core blackberry and raspberry fruit while this runs long and tastes vaguely chocolaty on the velvety finish enjoy this top notch tempranillo through 2030 
18,coming from a seven acre vineyard named after the dovecote on the property this is a magnificent wine powered by both fruit tannins and the 28 months of new wood aging it is darkly rich and with great concentration as a sign of its pedigree there is also elegance here a restraint which is new to this wine that makes it a wine for long term aging drink from 2022 
19,this fresh and lively medium bodied wine is beautifully crafted with cherry blossom aromas and tangy acidity layered and seductive it offers a crisp mix of orange peel cherry pomegranate and baking spice flavors that are ready for the table or the cellar 
20,heitz has made this stellar ros from the rare grignolino grape since 1961 ruby grapefruit red it s sultry with strawberry watermelon orange zest and salty spice flavor highlighted with vibrant floral aromas 
21,alluring complex and powerful aromas of grilled meat berries tea smoke vanilla and spice cover every base an intense palate is concentrated but still elegant blackberry molasses and mocha flavors finish with chocolaty oak notes fine tannins and overall cohesion drink this special rioja from 2020 through 2035 
22,tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude in the mouth this tinta de toro is expansive and grabby with bullish tannins slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate while on the finish this is long chocolaty delicious and not too hard or tannic drink through 2023 
23,the apogee of this ambitious winery s white wine efforts this bottling of just two barrels of clone 5 shows focused marzipan marcona almond and white peach notes on the nose the palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse the finish is luxurious and long 
24,san jose based producer adam comartin heads 1 100 feet up into the mountains to source fruit for this tremendous wine which offers wild cherry sage and eucalyptus scents on the nose ripe black plum and strawberry fruit lead the palate followed by acid driven waves of juniper pine and bay leaf finishing with a menthol like sensation 
25,yields were down in 2015 but intensity is up giving this medium bodied silky wine the potential to drink well through at least 2025 hickory smoke outlines white peach before ending in a long flurry of lime zest 
26,bergstr m has made a shea designate since 2003 intent on showcasing a pretty style of the vineyard here are lovely aromatics with grape jelly rose petals and plum in the nose and a complex run of red fruits in the mouth streaks of cola brown sugar and more come up in a generous finish 
27,focused and dense this intense wine captures the essence of ripe raspberries aged in 50 new french oak it s got a strong vein of coffee and mocha the flavors broaden out and penetrate finishing with highlights of cedar cinnamon and dark chocolate drink now through the 2020s but decant if you want the full expression 
28,cranberry baked rhubarb anise and crushed slate aromas show on the nose of this always excellent bottling from the franscioni family the palate abounds with energy driving black raspberry fruit accented with earthy loam fennel oregano and juniper through a compellingly round midpalate 
29,this standout rocks district wine brings earth shaking aromas of black olive brine tapenade green olive stargazer lilies orange peel and crushed gravel the smoked meat charcuterie and blue fruit flavors don t hold back bringing a lovely sense of texture and detail it s an intense wine that completely demands your attention 
30,this bulgarian mavrud presents the nose with suggestions of dried cherry black plum freshly ground black pepper and a whiff of eucalyptus in the mouth it is balanced with soft tannins mingling with dried cherry cassis and black plum 
31,steely and perfumed this wine sees only 20 new french oak remaining vibrantly fresh baked apple and lemon pith veer into grapefruit on the palate with spiciness to the finish that s both brash and loud 
32,underbrush scorched earth menthol and plum steeped in spirits are some of the aromas that unfold on the glass the big chewy palate doles out ripe wild cherry raspberry jam ground pepper and licorice alongside firm velvety tannins you ll also detect the warmth of alcohol on the finish 
33,pale in color this is nutty in character with a warm and rounded hint of red fruits the wine has a soft while still fresh aftertaste it is aged in cellars in saumur on the loire river 
34,the aromas entice with notes of wet stone honeysuckle chamomile and stone fruit the palate is generous in flavor and feel showing a fine sense of balance 
35,forest floor tilled soil mature berry and a whiff of new leather combine on this the ripe palate offers fleshy black cherry dried aromatic herb and tobacco while fine grained tannins give the finish some grip drink 2018 2023 
36,gingery spice notes accent fresh pear and melon fruit in this medium to full bodied wine it s round on the palate but not flabby with a warm spicy finish drink now 
37,aromas of forest floor violet red berry and a whiff of dark baking spice unfold in the glass while wild cherry black raspberry ground pepper and star anise drive the palate framed in firm fine grained tannins this is a classic tuscan red drink through 2020 
38,this has a charming nose that boasts rose violet and red berry while the juicy easy drinking palate offers ripe wild cherry chopped mint white pepper and a hint of star anise there isn t much complexity but it is savory and balanced with fresh acidity and supple tannins 
39,this bright savory wine delivers aromas and flavors of juicy wild cherry black raspberry violet white pepper and mocha polished tannins provide the framework enjoy through 2020 
40,earthy plum and cherry aromas score points for being clear and direct the palate on this varietal menc a is round smooth and just right lightly briny earthy plum and cherry flavors hold steady on the finish with a dash of saltiness 
41,this comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee a plump palate is not overly cutting or demanding while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors 
42,this is an aromatic brooder with aromas of scorched earth plum dried flowers and green herbs it s full in feel with dense dark fruit flavors tightly coiled tannins and tart acids a pleasing example of the variety 
43,aromas of dark skinned berry rose and wild herb lead the nose the round juicy palate doles out ripe black cherry fleshy raspberry white pepper and clove while polished tannins provide a smooth velvety framework enjoy through 2019 
44,dark in color and in flavor profile this medium bodied cornas boasts aromas and flavors reminiscent of chocolate fudge espresso and plummy fruit all framed by soft dusty tannins drink now 2025 
45,a blend of 90 sangiovese and 10 canaiolo this opens with aromas of violet mature plum espresso and a whiff of forest floor the firm palate offers dried black cherry ground pepper toast and clove while packed fine grained tannins provide support drink through 2020 
46,sunbaked earth ripe berry baking spice and a whiff of menthol meld in the glass the juicy palate offers red cherry pomegranate star anise mocha and a hint of tobacco alongside fine grained tannins 
47,blended with 9 malbec 9 cabernet franc and 5 petit verdot this is a perennial classic for the winery the sister brand of cuvaison juicy in cherry and cassis it sustains big pillowy tannins and tar suggesting more time for the fruit to match up with the structure drink through 2020 
48,ripe dark skinned berry forest floor and cooking spice aromas lead the nose along with a whiff of new leather the chewy palate offers fleshy black cherry cinnamon vanilla and a hint of tobacco while polished tannins provide the framework this is already accessible so no need to cellar it for years best through 2021 
49,the aromas of blue fruit herbs and spice are initially under tight restraint the flavors are full with the tannins simultaneously firm and fine grained it shows good length 
50,this robust red opens with aromas of espresso plum cake toast and dark spice the hearty palate offers blackberry jam licorice vanilla and mocha alongside firm fine grained tannins a coffee note closes the finish 
51,this structured complex chardonnay is packed with minerality and considerable weight the tight texture and almost tannic character will soften over the next few months full of potential it s drinkable now but will be so much better from 2017 
52,this ripe full bodied wine has ripe green fruits that are lifted by lime and made richer by apricot still young with a concentrated structure it s going to develop into a full beautifully fruity wine the name of the wine means the size of a parcel that demands the work of seven men for a day drink from 2017 
53,with its light color and cool feel this well balanced wine comes from a parcel of 30 year old vines the smoky tannins and intense acidity give a wine that will develop well and slowly it s still young with its red berry fruits and fresh aftertaste drink from 2018 
54,there s a lot to like in this nicely priced white a blend of several regional vineyards a taste of hazelnut expands on the palate to meet creamy tahitian vanilla approachably round this crowd pleasing wine finishes in measured integrated oak 
55,a blend of cabernet from grand ciel 31 ciel du cheval 30 upchurch 28 and klipsun 11 vineyards wood spice aromas start out up front the cherry flavors are light and elegant with the tannins bringing some grip 
56,delicious while also young and textured this wine comes from biodynamically grown grapes it has a strong sense of minerality as well as intense citrus and green fruits it s tight at the moment and needs to round out so drink from 2018 
57,while exuberantly fruity almost tropical on the nose there s a crystalline edge to this dry riesling that renders it especially refreshing it s vibrant and light footed brightened by a lingering honey note on the finish 
58,cabernet makes up just over half of this blend aromas of black cherries herbs and minerals are followed by plush feeling dark fruit flavors and backed by firm tannins drink now 
59,this savory blend of 40 merlot 30 cabernet sauvignon 25 cabernet franc and 5 syrah opens with aromas of roasted coffee bean leather tobacco and dark woodland berry the chewy palate offers juicy plum cassis and clove alongside polished tannins drink through 2019 
60,concentrated ripe blackberry and cassis aromas come with peppery spice and cedary oak notes this is big and generous on the palate with roasted well oaked blackberry flavors a touch of heat lends sizzle to the finish drink through 2020 
61,moorooduc s estate pinot noir is a solid value among the boutique offerings from the mornington peninsula there s a supple cushioning of flesh wrapped around a firm backbone of acid while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip drink now through 2020 
62,smoky aromas of fresh cut wood blend with berry and cassis form a welcoming generous bouquet this feels lively on the palate albeit tartaric oaky plum cassis and vanilla flavors finish full and agreeable drink through 2019 
63,l homme mort is a northern extension of the fourchaume premier cru vineyard so called because this was where a local lord dispensed justice by death it often produces cooler wines such as this it is tight with toasted bread hints and with a strongly tangy character it does need to develop and shouldn t be drunk before 2018 
64,this is a super ripe still very young wine it s showing all its concentrated fruits wood aging flavors and dense texture as well as the firm tannins that will allow it to age with its combination of black plum skin blackberry and dark concentration leave the wine until 2018 
65,fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon dill and hot gravel on the nose of this wine from an area between gilroy and morgan hill peppercorns are prominent on the relatively light palate along with tobacco espresso and boysenberry 
66,the steely character of a young chablis is very apparent in this wine it is crisp lemon flavored and with a mineral edge the wine has a juicy freshness still young at heart and needing to age drink from 2018 
67,from the producer s monumental atlas peak vineyard this is a tightly wound solidly constructed mountain cab blended with a handful of petit verdot tobacco black tea and a sliver of coconut intermingle around a medium bodied whole that will benefit from cellaring through 2021 
68,big bold dark and chewy this builds upon substantial black cherry fruit and supporting acids still knitting together it shows highlights of cedar and tobacco along with thick tannins give this a couple more years of bottle age and drink after 2018 
69,a juiciness of cherry and vanilla spark the opening of this wine a celebration of the vintage appellation and in this case fruit forwardness of the variety with a backbone of oak and cedar it has smooth tannins and medium weight finishing in mocha chocolate drink now through 2022 
70,sweetened tannins highlight a depth of chocolate and blackberry in this 100 varietal wine made in small amounts soft and juicy it crafts a balance of richness and density around elegant spicy clove and cinnamon 
71,this wine draws from a handful of tremendous vineyard sites including the producer s estate platt and clary ranch all cool climate and windswept it s a tight light and minimally messed with wine bright in cherry pomegranate and rose 
72,this offers aromas of red rose wild berry dark cooking spice and a whiff of sun baked earth the ripe palate offers black cherry marinated in spirits licorice game and a hint of chocolate alongside velvety tannins the warmth of alcohol closes the finish drink 2018 2029 
73,massively fruity this is an apple pear bonanza fleshy and almost lasciviously delicious the huge fruit flavors convey an impression of sweetness though this is not identified as off dry it has tremendous density and length 
74,it is the ripe dark alicante bouschet that dominates this firmly structured wine it is packed with tannins along with a hugely dense texture and concentrated juicy berry flavors it is very firm still young wait until 2017 
75,an elegant blend from different estate vineyards this widely available cuv e brings sturdy tannins and red currant fruit highlighted with pretty baking spices it would be an ideal match for roast duck with an orange sauce 
76,this wine is bone dry although with some age the shock of the acidity has been rounded out by a hint of toast it s linear fresh and intensely crisp with citrus and almond tones drink this wine from a good vintage now 
77,given four months in concrete egg this is an exotically crisp and textured white lean and high in acidity with plenty of mouthcoating body to find its balance lemon grapefruit and tangerine are the highlights finished in refreshing layers of white peach 
78,this wine over delivers in quality for the price it s made from mostly cabernet sauvignon with handfuls of merlot malbec petit verdot and cabernet franc blended in to good effect the whole combines into layers of chocolate and graham cracker dappled in vanilla and jam thick tannins suggest a swirl or two of the glass the finish is all tobacco 
79,underbrush smoke mocha and dark fruit aromas lead the nose and carry over to the ripe palate along with dried black cherry licorice and clove firm velvety tannins provide the framework drink 2018 2028 
80,generous black cherry fruit anchors this barrel aged wine that remains tartly acidic with pretty accents of toast and mocha focused young and fresh it should drink optimally 2018 2028 
81,dark red violet in color this wine has aromas of cherry lavender and rose petal it is a well balanced wine with flavors of black cherry raspberry turkish delight and herbes de provence silky tannins coat the palate into the lasting finish which is punctuated by a note of bright cherry 
82,berry baking spice dried iris mint and a hint of vanilla come together on this structured wine on the palate notes of white pepper sage anise orange zest and yellow peach accent the red cherry core while a balsamic note closes the finish firm refined tannins provide the backbone 
83,this hearty red opens with aromas of leafy underbrush leather licorice and a hint of menthol the firm chewy palate offers ripe wild cherry raspberry jam anisette and tobacco brooding tannins support the dark flavors drink 2019 2029 
84,enticing aromas of woodland berry crushed rose mint and menthol lead the nose on thisfull bodied red mint carries over to the palate along with wild cherry red raspberry kitchen spice and a hint of toast assertive tannins and bright acidity hold it all together 
85,aromas of french oak coconut vanilla and spiced plum lead the nose on this powerfully structured wine the oak sensations carry over to the warm palate along with cherry marinated in spirits licorice and menthol bracing close grained tannins provide the framework and need time to unwind best after 2020 
86,this delicious refreshing wine is textured tight and mineral with fruity acidity tangy and crisp it has a tight structure touches of toast along with apple and citrus flavors the wine is still young and very tight so should not be drunk before 2017 
87,from a multiplicity of vineyards this wine works and is a tremendous value for the price it mixes hot mulled cider spices cinnamon clove and pine forest conveying surprising depth plum dark cherry and more clove lead to a powerful leathery finish 
88,the first pinot noir release from this producer this is a velvety smooth exotic and charming wine light on the palate despite a concentration of ripe rich fruit kirsch cherry raspberry and cinnamon combine to make the wine invitingly lush and plush 
89,a red meritage driven by 73 cabernet sauvignon this structured full bodied wine also blends in 19 merlot 3 petit verdot and 3 malbec blackberry and chocolate accent chalky tannins with bold hits of black licorice cassis pencil and black tea drink now through 2020 
90,bright light oak shadings dress up this medium bodied wine complementing the red cherry and strawberry flavors it s fresh fruity and not very tannic easy to drink and enjoy 
91,the local baga grape better known for producing structured red wines also lends itself to fruity sparkling ros bright acidity gives this crisp wine its tangy red currant character drink now 
92,aromas of white spring flower orchard fruit and citrus spill out of the glass the fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse 
93,a smoky scent and earthy crisp apple flavors make this medium bodied wine a change of pace from the average butterball chardonnay it has welcome acidity and a nicely smooth texture 
94,this family owned estate has produced an immediately attractive entry level wine lightly spiced with wood it blends touriga franca tinta roriz and tinta barroca to show black fruit ripe tannins and bright acidity drink now 
95,this is a smooth soft wine that is full of black fruits and ripe tannins the merlot rounds out the rougher edges of the malbec to give a rich juicy wine that will develop quickly it is all fruit generous and ready to drink from 2017 
96,this is an easygoing wine that s neither too oaky nor too crisp with a decent blend of ripe pear and baking spice flavors paired with soft smooth texture 
97,blended with small amounts of merlot cabernet franc petit verdot and malbec this is an austere unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb 
98,closer to bordeaux than is cahors this is malbec with a cooler visage it has spice and stalky tannins along with plenty of acidity the wine is bright with red berry fruits and a crisp lightly mineral aftertaste drink from 2018 
99,this is a blend of 60 ugni blanc and 40 colombard that gives a deliciously light and refreshing wine bright and breezy it is perfumed herbal and full of direct citrus flavors drink now 
100,juicy kiwi lime blossom and sour apple candy aromas show on the nose of this ripe white the first 2016 submitted from the region the palate is oily in texture with honeydew and more lime kiwi bubblegum flavors 
101,brambly and herbal this wine shows bright acidity underlying a full bodied incoherently ripe palate of tar toffee and rich cola notes 
102,the nose is a bit shy but eventually reveals underbrush red berry and a toasted note the straightforward palate is quite lean offering raw sour cherry a green note of powdered sage and a hint of ground pepper alongside raspy tannins that leave an astringent finish 
103,this cabernet sauvignon dominant blend boasts leather tobacco leaf and black pepper flavors giving it muscle and a rustic edge the tannins and fruit mellowed with age 
104,fans of stickies may find pleasure in this bottling but it is tremendously sweet and oily candied honeydew and kiwi scents meet with sweet juniper and pine on the nose on the palate it tastes squarely of golden honey it s soft unctuous and thick in consistency 
105,aromas of ripe leaning almost overripe apple melon and orange peel are followed by medium sweet fruit flavors it needs more acid to stand it up 
106,strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors giving this wine extreme personality it has medium body and rather soft tannins and texture to balance 
107,this medium bodied wine has more earthy and floral flavors than straightforward fruit so it s something a bit different well priced and easy to drink it can please a crowd 
108,this wine is dry and substantial emphasizing earthy savory flavors over fruity ones an attractive walnut and almond element carries through from the aroma to the flavors 
109,this is from a hillside estate vineyard and is entirely barrel fermented its oak subtle and supportive medium bodied and not overripe it offers honeysuckle aromas and lime and lemon rind flavors 
110,this state owned estate of forests and vineyards grows organic grapes this wine softly structured and ripe has light black fruits and plenty of acidity an undercurrent of tannin keeps the wine in order and will allow it to age drink from 2018 
111,this copper tinted ros of pinot noir smells like a rubber gym ball and citrus fruits a full round bouncy palate brings it around while dry citrus and stone fruit flavors show a skins like quality on a steady finish 
112,this mountain grown wine is hugely tannic and oaky hard to penetrate in its full bodied ripeness smoky oak and currant flavors vie for attention against a backdrop of concentration and power 
113,savory apples and pears mingle into lemon and bramble in this slightly earthy off dry riesling sunny tangerine acidity is easy but bright leading a delicately sweet finish 
114,muted aromas of tart gooseberry and lime peel dance in the bouquet while pithy flavors of plum skin currant and citrus rind unfold on the lightweight slightly astringent palate pleasant hints of fresh herbs and saline make a fleeting impression on the close 
115,aromas of prune raisin and black plum are full and gritty a chunky full bodied palate feels grabby while this tastes of generic blackberry burnt coffee and dark chocolate a steady plump rubbery finish closes the show 
116,aromas of brandied cherry and cr me de cassis include a horsey sidenote and some heat this sweet monastrell smacks the palate with hard tannins flavors of black cherry cassis and baked plum finish blocky 
117,this pale pink grey colored wine is a blend of duras and merlot it is lively and fruity with a red currant flavor delicious crisp acidity and a soft lively aftertaste drink now 
118,this softly fruity wine has the lightest of tannins and plenty of simple red berry fruits there is an earthy edge to the young wine as well as plenty of acidity at the end drink now 
119,this broad fruity wine brings out ripe berry flavors in spades it has generous fruit soft tannins and a smooth open texture drink now 
120,let this burly big boned beauty open to fully enjoy its robust oak and fistfuls of black cherry the oak showing in terms of toasty slightly reductive aromas a smooth texture keeps the wine flowing along a concentrated highway of power and ripeness 
121,this small quantity selection from within the charles vineyard was fermented by native yeast and neither fined nor filtered it is quite aromatic full bodied and moderately fruity and has a nice rounded mouthfeel generous red cherry and spice flavors and good structure from acidity and mild tannins tart cherry lingers on the finish 
122,a deeper salmon color with elegantly lacy bubbles and a slight cloudy appearance this sparkler by norm yost offers dessicated watermelon dried orange blossoms yeast citrus rinds and fresher strawberry notes on the nose tart raspberry and yeasty melon show on the palate which offers a salty component as well as a surprising but nice amount of grip 
123,this wine takes time to unravel and reveal itself rewarding the patient with a wealth of high toned citrus and elegantly wound medium bodied honeyed pear and caramel lengthy and complex it s one to consider aging and allowing to further mellow over time drink now through 2021 
124,this wine is tasty tangy and nervy bringing a very refreshing and appetizing mouthfeel and wonderful fresh acidity all of that tang shows good fruitiness too as the red cherry and cranberry flavors are vivid and concentrated it s a versatile wine to drink now or buy by the case to save some bottles for more aging 
125,this medium bodied wine has a compelling blend of restraint and power it offers modest fruity aromas at first then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish with little oak flavor in the way it gives pure pinot sophistication 
126,renwood s tiny two barrel production of its most expensive zinfandel has aromas like vanilla and coconut and flavors as rich as milk chocolate and strawberry jam this full bodied wine is practically a liquid dessert though it s not overly sweet it s full bodied smooth and broad in texture 
127,this is a thick chocolatey wine with a side of leather and black pepper that appeals on multiple levels full bodied concentration gives way to a smooth rounded palate robust in blackberry and vanilla 
128,aromas of strawberry currant and spice are good in a subtle non pushy way fresh and grabby on the palate this tastes of red fruits baking spices and cocoa drying tannins along with cassis and chocolate flavors push a healthy finish drink through 2020 
129,scents of spanish broom pineapple orchard fruit and a saline note meld together in the glass the focused palate offers mature apple peach botanical herb and mineral alongside firm acidity 
130,juicy and delicious this has aromas of ripe orchard fruit and fragrant spanish broom the succulent palate doles out crisp granny smith apple anjou pear nectarine and mineral alongside bright acidity 
131,fairly light in the glass this bottling shows chalk slate and wet sand minerality on the nose alongside asian pear flesh kiwi and honeydew fruit notes the texture is quite pithy once sipped showing grapefruit and apple skins and then it warms toward yellow pears and a sea salt warmth 
132,meaty smoky aromas and good high amplitude fruit flavors give a robust personality to this full bodied dry and firmly tannic wine it will make a good pairing with pasta roasted birds or grilled meat 
133,this is a delightfully crisp elegant and lip smacking wine that s subtle and easy to love lemon peel apple skin and pear play together well never becoming distracting but instead integrating well with one another and the light hint of oak food friendly it s also a great deal 
134,while cabernet sauvignon dominant all five red bordeaux varieties are represented here dark in color a combination of black pepper and black fruit syrup meets earthy and dry tannins this structured wine needs time cellar through 2020 
135,quite dark in color brooding aromas of olallieberry blackberry grape soda plums and concentrated purple flowers appease the nose on this bottling from one of paso s newly designated appellations the palate blends licorice turned earth and eucalyptus with a fresh pomegranate juice flavor 
136,a nose of sour cherry and cranberry meshes with sandalwood and savory herbs on this single site study by the longtime paso producer the palate is overflowing with oregano and other dried garden herbs laid against a juicy red and purple fruit frame 
137,heavy fruit concentration meets thick velvety tannins in this full bodied deeply colored and extremely flavorful wine it s big enough to pair with big proteins and concentrated enough to keep improving in the cellar best after 2019 
138,cherry plum vanilla and mild oak aromas feed into a medium bodied elegant palate with plum and cherry flavors supported by a touch of toasty oak and vanilla notes of caf mocha and toast grace a crisp finish that isn t trying too hard 
139,attractive fruity tones of red currant raspberry and strawberry hull dance in the bouquet of this pretty ros graced by garrigue accents of lavender and rosemary flavors of red berry skin and peach pit unfold on the medium weight palate framed by soft tannins and a delicate spice note that lingers on the close 
140,lightly structured this is a balanced ripe wine it has profited from the good vintage to offer strawberry raspberry and citrus flavors that are well balanced and textured drink this attractive wine now 
141,a sublime twist of citrus lies at the heart of this light yet complex white which is refreshing and layered with a subtle bite of underlying oak from a dry farmed vineyard maintained by the same family for 30 years this whole cluster pressed wine was given time in a majority of stainless steel and neutral french oak it shines in moderate acidity and tropical flair 
142,there is tons of lively action packed into the nose of this wine from rosebuds and zesty cherry cola to cinnamon spice and rainbow peppercorns the texture is relatively light on the sip and yet grippy tannins and a bursting acidity swim across the palate showing vibrant iron and red fruit flavors 
143,estate grown and aged in stainless steel this racy and pungent wine is packed with rich juicy fruit flavors apple lemon lime and tangerine are in the mix showing that chardonnay does not always need oak flavors to have real power 
144,clean sharp and zesty fruit blossom aromas meet with ripe pomelo and green apple scents on the nose of this wine by steve dooley a fresh tingling acidity shows on the sip which is a tad sour with stone fruit skins but bountiful in a slate driven minerality and grippy texture cool climate albari o has much promise in the state 
145,red cherry and strawberry aromas meld with rich fruit and warm baking spice flavors to make this full bodied wine hard to resist the style is in the ripe pastry shop mode and soft tannins and acidity complete the picture 
146,this is an exuberantly fruity spicy and robust wine speckled with 2 petite sirah dark and full of red berry flavor the palate is dusted in brown sugar and black pepper ripe and concentrated it drinks smooth and elegant despite its serious power 
147,aromas of white flowers stone fruits and lees are typical of well made albari o a juicy elegant palate with a mix of citrus and stone fruit flavors is lasting with a hint of pithy character coming up on the finish 
148,quite vibrant and floral on the nose this shows deep blackberry and both dried and fresh purple flower elements as well as a baked berry pastry the flavors are well integrated on the palate where cooked blackberries in a vanilla pie crust combine with juicy strawberry peppercorns and rosemary spice 
149,this most intriguing white grape which the larners grow as an ode to their italian past shows a sweet nose with a bone dry palate sugary citrus scents of orange blossoms and peach syrup give way to a brisk palate full of honeysuckle night jasmine and a nearly pine needle bitterness that cuts dynamically through it all 
150,reflecting the vintage this pinot is light and lithe in style it shows tart cherry fruit and suggestions of chocolate with bright acidity and a thin finish 
151,this wine is a conversation starter with its nose of mandarin orange lemon peel and vanilla on the palate white flowers citrus and lush tropical fruits mingle well pair with salmon and poultry 
152,dusty leesy aromas of apple and vanilla are sturdy this brut cava is fresh and modestly elegant on the palate with lime apple and tarragon flavors a dry confident finish offers apple and citrus flavors and a sense of ease 
153,bright aromas of citrus and tropical fruit give this easygoing white an easy appeal balanced and fresh it s an elegant wine that will pair well with grilled fish and salads 
154,peach pear and lemon on the nose start this cheerful white from alpha estate on the palate it offers some complexity of exotic fruit and with a vein of acidity soft overall in profile this wine is easygoing and enjoyable 
155,lightly herbal horsey aromas of blueberry black plum and cardamom are ripe by carmen re standards hailing from a hot vintage this is a bit flabby in feel with soft tannins chunky plum and blackberry flavors finish with notes of licorice and mint along with a chewy syrupy feel 
156,this well balanced fruity wine allows space for some solid dry tannins that also show wood aging berry fruits shine through the structure to give a juicy character that is underlined by the fresh acidity at the end 
157,in this fruit forward vintage it s not surprising to find that what shines here are the bright spicy and tart flavors of strawberries raspberries and cherries the sangiovese was co fermented with 7 syrah and aged in 30 new american oak as the wine breathes open the flavors of oak and char come up and the tannins show some extra grip 
158,aromas of leather roast plum and compost are challenging and not immediately inviting in the mouth this shows rubbery tannins and juicy acidity saucy herbal plum and currant flavors ride on a beam of acidity toward an earthy tomatoey finish with a lightly leafy aftertaste 
159,staunch berry cassis and spice aromas are friendly and congruent this malbec led blend is jammy in feel a bit hollow in the middle and easy to like as a whole blackberry and blueberry flavors finish fleshy with soft tannins 
